ticker,event_id,ex_date,payment_date,value_per_share,source
ENGI4,B3-RI:44ef4b3bf602b5b2f1ab5e1d55d29f90,2022-08-24,2022-09-01,0.232,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D49:J49
ENGI4,B3-RI:bd9f3114a4fbcef456ac3abb6308d3da,2023-03-22,2023-03-30,0.16,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D50:J50
ENGI4,B3-RI:af06e0993bae75d331892afc0c7adef8,2023-08-16,2023-08-29,0.14,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D52:J52
ENGI4,B3-RI:1d6e55c7ca678de910e9066981669ef3,2024-01-02,2024-01-12,0.2,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D53:J53
ENGI4,B3-RI:e6e1c3bc8cc8ae909e2abb7a5e7b9199,2024-08-13,2024-08-28,0.2,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D55:J55
ENGI4,B3-RI:b51f90ac0d5ca5aa4fb945d5c7fadb5c,2025-02-26,2025-03-28,0.38,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D56:J56
ENGI4,B3-RI:9a4f806827bc242274a72fbb659869c7,2025-08-13,2025-09-26,0.2,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D58:J58
ENGI4,B3-RI:46cf8ea078c0f4af28dca8d140005315,2025-11-27,2025-12-19,0.14023106424,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D59:J59
ENGI4,B3-RI:382d44d23022adb3cd1c77bee547263a,2026-08-12,2026-08-24,0.1,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D61:J61
ENGI11,B3-RI:609a07187ce95c85fcb2be05657808ce,2016-03-01,2016-03-08,0.286,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D28:J28
ENGI11,B3-RI:fd7c88a5162aefd3d77f65c2757c331a,2016-08-18,2016-08-26,0.115,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D30:J30
